Entity_Name,Year,Quarter,Type,Count,Amount,State
744104,2022,4,Pincode,684366,1309407988.2902,andaman-&-nicobar-islands
744103,2022,4,Pincode,304600,612929267.1773143,andaman-&-nicobar-islands
744105,2022,4,Pincode,258097,505662756.1128938,andaman-&-nicobar-islands
744101,2022,4,Pincode,243494,467192496.17391205,andaman-&-nicobar-islands
744102,2022,4,Pincode,134923,264371699.73904055,andaman-&-nicobar-islands
744211,2022,4,Pincode,56491,137253267.66612908,andaman-&-nicobar-islands
744107,2022,4,Pincode,54192,104539818.47127225,andaman-&-nicobar-islands
744112,2022,4,Pincode,46364,82461782.47749998,andaman-&-nicobar-islands
744202,2022,4,Pincode,34689,94217164.85909571,andaman-&-nicobar-islands
744301,2022,4,Pincode,33669,82466591.07632071,andaman-&-nicobar-islands
south andaman,2022,4,District,1835592,3600887266.099448,andaman-&-nicobar-islands
north and middle andaman,2022,4,District,93297,241431284.35581034,andaman-&-nicobar-islands
nicobars,2022,4,District,58646,142355853.97352523,andaman-&-nicobar-islands
517501,2018,1,Pincode,110496,163487278.84449506,andhra-pradesh
520001,2018,1,Pincode,96883,170605900.5466873,andhra-pradesh
515001,2018,1,Pincode,92754,133522310.75704184,andhra-pradesh
517507,2018,1,Pincode,88132,127450018.2101582,andhra-pradesh
516001,2018,1,Pincode,84644,131194265.5243713,andhra-pradesh
518502,2018,1,Pincode,82421,68040306.13881023,andhra-pradesh
530016,2018,1,Pincode,81891,140880970.0990568,andhra-pradesh
520010,2018,1,Pincode,69581,119009921.97401813,andhra-pradesh
516360,2018,1,Pincode,68340,101612118.88480642,andhra-pradesh
518501,2018,1,Pincode,68193,81006512.71677604,andhra-pradesh
visakhapatnam,2018,1,District,1256469,1749966196.5049949,andhra-pradesh
east godavari,2018,1,District,943935,1235785515.5997267,andhra-pradesh
krishna,2018,1,District,863935,1284255179.6156201,andhra-pradesh
chittoor,2018,1,District,830324,1009621878.0870512,andhra-pradesh
guntur,2018,1,District,815932,1108686589.0266826,andhra-pradesh
kurnool,2018,1,District,679623,764905298.7350456,andhra-pradesh
anantapur,2018,1,District,638664,788830646.0324218,andhra-pradesh
west godavari,2018,1,District,577090,853547668.7532666,andhra-pradesh
prakasam,2018,1,District,534757,748990775.8676486,andhra-pradesh
spsr nellore,2018,1,District,531612,676643237.8069417,andhra-pradesh
517501,2018,2,Pincode,165506,305629373.15863353,andhra-pradesh
518502,2018,2,Pincode,140893,127814123.87394845,andhra-pradesh
515001,2018,2,Pincode,129798,285924993.6163615,andhra-pradesh
517507,2018,2,Pincode,127731,243405277.90481398,andhra-pradesh
520001,2018,2,Pincode,123176,271911611.0495833,andhra-pradesh
516001,2018,2,Pincode,114806,242175477.6115077,andhra-pradesh
530016,2018,2,Pincode,111874,235770318.03054443,andhra-pradesh
520010,2018,2,Pincode,100630,220730389.6490364,andhra-pradesh
516360,2018,2,Pincode,96619,197068813.60447282,andhra-pradesh
518501,2018,2,Pincode,93442,163942778.22947574,andhra-pradesh
visakhapatnam,2018,2,District,1641192,2987853607.2939095,andhra-pradesh
krishna,2018,2,District,1224987,2448141593.4919834,andhra-pradesh
east godavari,2018,2,District,1221677,2168914928.4239016,andhra-pradesh
chittoor,2018,2,District,1185723,1990419125.8937118,andhra-pradesh
guntur,2018,2,District,1088101,2108475811.785997,andhra-pradesh
kurnool,2018,2,District,968439,1531888665.6843233,andhra-pradesh
anantapur,2018,2,District,937023,1690366079.0557928,andhra-pradesh
west godavari,2018,2,District,786033,1688025212.3045943,andhra-pradesh
spsr nellore,2018,2,District,780454,1542057934.0108962,andhra-pradesh
prakasam,2018,2,District,739991,1571167562.1276274,andhra-pradesh
518502,2018,3,Pincode,1300146,709765829.9649723,andhra-pradesh
533437,2018,3,Pincode,421968,240766495.05853492,andhra-pradesh
518501,2018,3,Pincode,296154,291247918.8462258,andhra-pradesh
517501,2018,3,Pincode,295403,466133618.6014985,andhra-pradesh
515001,2018,3,Pincode,276595,438158383.2247275,andhra-pradesh
530016,2018,3,Pincode,234494,380410223.19526947,andhra-pradesh
517507,2018,3,Pincode,233347,386563858.6898683,andhra-pradesh
516259,2018,3,Pincode,220165,109844218.671292,andhra-pradesh
520011,2018,3,Pincode,213275,291805923.00111276,andhra-pradesh
520001,2018,3,Pincode,206435,371140000.30740225,andhra-pradesh
visakhapatnam,2018,3,District,3394576,4821892253.393524,andhra-pradesh
east godavari,2018,3,District,3226907,3551247095.3074465,andhra-pradesh
kurnool,2018,3,District,2921189,2908389261.5397735,andhra-pradesh
krishna,2018,3,District,2396934,3754202654.3844614,andhra-pradesh
chittoor,2018,3,District,2297429,3283517630.720593,andhra-pradesh
guntur,2018,3,District,1912529,3127764663.180438,andhra-pradesh
anantapur,2018,3,District,1815215,2681787750.464165,andhra-pradesh
ysr,2018,3,District,1557444,2235904512.2542048,andhra-pradesh
west godavari,2018,3,District,1431282,2309078492.805815,andhra-pradesh
prakasam,2018,3,District,1319651,2346453445.4838424,andhra-pradesh
518502,2018,4,Pincode,441662,332201263.2829269,andhra-pradesh
517501,2018,4,Pincode,423357,714887920.0334857,andhra-pradesh
530016,2018,4,Pincode,367619,575982481.3389585,andhra-pradesh
515001,2018,4,Pincode,355695,651952970.9302757,andhra-pradesh
517507,2018,4,Pincode,318300,594747982.0458119,andhra-pradesh
530003,2018,4,Pincode,277131,356075793.85855436,andhra-pradesh
516001,2018,4,Pincode,269798,572252390.1920383,andhra-pradesh
520010,2018,4,Pincode,250261,492229977.1570112,andhra-pradesh
530017,2018,4,Pincode,248725,326891428.60271376,andhra-pradesh
518501,2018,4,Pincode,248520,357423401.5571966,andhra-pradesh
visakhapatnam,2018,4,District,4791421,7366635864.849373,andhra-pradesh
chittoor,2018,4,District,3166201,4979093890.223491,andhra-pradesh
east godavari,2018,4,District,3052762,4652624623.436675,andhra-pradesh
krishna,2018,4,District,2839161,5416251838.130407,andhra-pradesh
guntur,2018,4,District,2546620,4730251217.696959,andhra-pradesh
kurnool,2018,4,District,2508530,3626544852.4069242,andhra-pradesh
anantapur,2018,4,District,2286391,3975878156.329829,andhra-pradesh
spsr nellore,2018,4,District,1814997,3293448556.973445,andhra-pradesh
ysr,2018,4,District,1732527,3252340063.2478595,andhra-pradesh
prakasam,2018,4,District,1692862,3255254226.03728,andhra-pradesh
530001,2019,1,Pincode,950821,1529039457.6419592,andhra-pradesh
517501,2019,1,Pincode,922416,1244725311.4573965,andhra-pradesh
520001,2019,1,Pincode,814616,1462807205.627422,andhra-pradesh
530016,2019,1,Pincode,684611,960022481.5524917,andhra-pradesh
517507,2019,1,Pincode,671661,1009128524.8128469,andhra-pradesh
515001,2019,1,Pincode,609682,1009938283.8464416,andhra-pradesh
518502,2019,1,Pincode,545426,389782596.9665674,andhra-pradesh
530003,2019,1,Pincode,527667,590799502.8850918,andhra-pradesh
530017,2019,1,Pincode,472914,531596255.9349663,andhra-pradesh
520010,2019,1,Pincode,460133,774931063.0289192,andhra-pradesh
visakhapatnam,2019,1,District,9690866,13459857440.552685,andhra-pradesh
chittoor,2019,1,District,6486813,8223371732.233585,andhra-pradesh
krishna,2019,1,District,5443981,9061346433.072681,andhra-pradesh
east godavari,2019,1,District,5440146,7382264724.59952,andhra-pradesh
guntur,2019,1,District,4846553,7765934169.404485,andhra-pradesh
kurnool,2019,1,District,4193432,5541564892.509682,andhra-pradesh
anantapur,2019,1,District,3891336,6044730653.191345,andhra-pradesh
spsr nellore,2019,1,District,3333584,5161932216.216368,andhra-pradesh
prakasam,2019,1,District,2931081,4807527779.215151,andhra-pradesh
ysr,2019,1,District,2852197,4915811593.896078,andhra-pradesh
530001,2019,2,Pincode,2602865,5218795715.70141,andhra-pradesh
520001,2019,2,Pincode,1828617,3823390190.0922346,andhra-pradesh
517501,2019,2,Pincode,949187,1669949938.5076957,andhra-pradesh
522001,2019,2,Pincode,839909,1759418775.980979,andhra-pradesh
530016,2019,2,Pincode,793798,1257915825.5688605,andhra-pradesh
517507,2019,2,Pincode,760335,1412863012.2407691,andhra-pradesh
515001,2019,2,Pincode,567306,1282118916.2094193,andhra-pradesh
530003,2019,2,Pincode,520142,718170914.395836,andhra-pradesh
520010,2019,2,Pincode,490697,973983824.5472903,andhra-pradesh
530017,2019,2,Pincode,480905,650710126.3382195,andhra-pradesh
visakhapatnam,2019,2,District,11705738,20797479804.029076,andhra-pradesh
