Entity_Name,Year,Quarter,Type,Registered_User
karnataka,2022,3,State,23972733
andhra-pradesh,2022,3,State,22867033
uttar-pradesh,2022,3,State,17745518
telangana,2022,3,State,17647390
west-bengal,2022,3,State,17289847
rajasthan,2022,3,State,15855948
gujarat,2022,3,State,15169257
tamil-nadu,2022,3,State,14432330
delhi,2022,3,State,14187485
maharashtra,2022,4,State,37327222
karnataka,2022,4,State,25085468
andhra-pradesh,2022,4,State,23971840
uttar-pradesh,2022,4,State,18631111
telangana,2022,4,State,18479117
west-bengal,2022,4,State,18122196
rajasthan,2022,4,State,16604158
gujarat,2022,4,State,15906263
tamil-nadu,2022,4,State,15122589
delhi,2022,4,State,14899159
